timestamp_iso,task_id,task_name,target,fell_back,actual_ms,result_bytes,error,rule,battery_percent,is_charging,network_type,network_score,rtt_ms,bandwidth_mbps,cpu_percent,is_stable,est_local_ms,est_remote_ms,est_local_energy_mj,est_remote_energy_mj,speedup,executed_at,server_exec_ms,measured_power_mw,measured_energy_mj,input_size_bytes,debug_overrides,reasoning
2026-08-16T13:17:24.024,echo-1786861043999,echo,LOCAL,false,20,11,,COMPUTE_FLOOR_NOT_MET,100,true,WIFI,0.809,0.0,43.1,4.3,true,52.3,60.0,41.8,3.0,0.871,local,,26.6,0.5,11,,"compute speedup 0,87x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T13:20:11.403,matrix-1786861211368,matrix-multiply,EDGE,true,32,4096,IOException: EDGE endpoint not reachable: http://192.168.2.13:8001,HEAVY_COMPUTE_GOOD_BANDWIDTH,100,true,WIFI,0.809,0.0,43.1,8.8,true,2193.0,645.8,1754.4,33.4,3.396,local,,26.6,0.9,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,4x)"
2026-08-16T13:25:42.406,matrix-1786861542364,matrix-multiply,EDGE,true,40,4096,IOException: EDGE endpoint not reachable: http://192.168.2.13:8001,HEAVY_COMPUTE_GOOD_BANDWIDTH,100,true,WIFI,0.809,0.0,43.1,2.8,true,2057.9,645.8,1646.3,33.4,3.187,local,,31.1,1.2,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,2x)"
2026-08-16T13:36:21.652,matrix-1786862179559,matrix-multiply,EDGE,true,2078,4096,OffloadingException: remote task matrix-1786862179559 failed at edge: ValueError: matrix-multiply: payload must encode a square matrix; got 1366 float32s,HEAVY_COMPUTE_GOOD_BANDWIDTH,100,true,WIFI,0.809,57.6,43.1,4.4,true,2091.3,688.3,1673.0,35.5,3.038,local,,22.2,46.1,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,0x)"
2026-08-16T13:57:08.423,matrix-1786863427132,matrix-multiply,EDGE,true,1285,4096,OffloadingException: remote task matrix-1786863427132 failed at edge: ValueError: matrix-multiply: payload must encode a square matrix; got 1366 float32s,HEAVY_COMPUTE_GOOD_BANDWIDTH,100,true,WIFI,0.809,50.1,43.1,3.9,true,2082.1,680.9,1665.7,35.1,3.058,local,,31.1,39.9,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,1x)"
2026-08-16T14:01:37.465,matrix-1786863696596,matrix-multiply,EDGE,true,858,4096,OffloadingException: remote task matrix-1786863696596 failed at edge: ValueError: matrix-multiply: payload must encode a square matrix; got 1366 float32s,HEAVY_COMPUTE_GOOD_BANDWIDTH,100,true,WIFI,0.809,43.2,43.1,3.7,true,2075.8,673.9,1660.6,34.8,3.080,local,,24.4,20.9,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,1x)"
2026-08-16T14:05:36.268,matrix-1786863935482,matrix-multiply,EDGE,true,777,4096,IllegalArgumentException: Illegal base64 character a,HEAVY_COMPUTE_GOOD_BANDWIDTH,100,true,WIFI,0.809,48.9,43.1,10.5,true,2234.4,679.7,1787.6,35.1,3.287,local,,26.6,20.7,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,3x)"
2026-08-16T15:54:53.574,matrix-1786870493175,matrix-multiply,EDGE,false,393,4096,,HEAVY_COMPUTE_GOOD_BANDWIDTH,94,true,WIFI,0.809,64.1,43.1,24.3,true,2643.1,694.9,2114.5,35.8,3.803,edge,35.7,2258.9,887.7,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 3,8x)"
2026-08-16T15:56:14.579,matrix-1786870574230,matrix-multiply,EDGE,false,337,4096,,HEAVY_COMPUTE_GOOD_BANDWIDTH,95,true,WIFI,0.809,75.1,43.1,2.3,true,2046.7,705.8,1637.3,36.4,2.900,edge,1.6,3365.9,1134.3,4096,,"HEAVY task + network score 0,81 >= 0,60: offload to EDGE (speedup 2,9x)"
2026-08-16T16:08:40.721,echo-1786871320703,echo,LOCAL,false,16,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,48.3,43.1,2.7,true,51.4,93.3,41.1,4.7,0.551,local,,3287.8,52.6,11,,"compute speedup 0,55x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:08:43.770,echo-1786871323725,echo,LOCAL,false,39,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,48.3,43.1,2.8,true,51.4,93.3,41.1,4.7,0.551,local,,3350.2,130.7,11,,"compute speedup 0,55x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:08:46.818,echo-1786871326774,echo,LOCAL,false,38,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,56.3,43.1,3.1,true,51.6,101.3,41.3,5.1,0.510,local,,3488.3,132.6,11,,"compute speedup 0,51x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:08:49.864,echo-1786871329821,echo,LOCAL,false,37,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,56.3,43.1,2.4,true,51.2,101.3,41.0,5.1,0.506,local,,3434.8,127.1,11,,"compute speedup 0,51x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:08:52.916,echo-1786871332868,echo,LOCAL,false,42,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,48.8,43.1,3.3,true,51.7,93.8,41.4,4.7,0.551,local,,3497.2,146.9,11,,"compute speedup 0,55x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:08:55.935,echo-1786871335917,echo,LOCAL,false,17,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,48.8,43.1,59.6,true,123.7,93.8,98.9,4.7,1.318,local,,2624.0,44.6,11,,"compute speedup 1,32x < floor 1,50x (local 124ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:08:58.979,echo-1786871338940,echo,LOCAL,false,32,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,34.2,43.1,3.4,true,51.8,79.2,41.4,4.0,0.654,local,,3448.2,110.3,11,,"compute speedup 0,65x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:02.025,echo-1786871341982,echo,LOCAL,false,37,11,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,34.2,43.1,2.7,true,51.4,79.2,41.1,4.0,0.649,local,,3390.3,125.4,11,,"compute speedup 0,65x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:11.261,sha256-1786871351243,sha256,LOCAL,false,15,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.801,84.0,43.1,3.2,true,51.6,129.2,41.3,6.7,0.400,local,,3608.6,54.1,1024,,"compute speedup 0,40x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:14.299,sha256-1786871354264,sha256,LOCAL,false,30,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.801,84.0,43.1,25.3,true,66.9,129.2,53.6,6.7,0.518,local,,2784.4,83.5,1024,,"compute speedup 0,52x < floor 1,50x (local 67ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:17.352,sha256-1786871357304,sha256,LOCAL,false,41,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,43.3,43.1,3.9,true,52.0,88.5,41.6,4.7,0.588,local,,3385.8,138.8,1024,,"compute speedup 0,59x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:20.396,sha256-1786871360356,sha256,LOCAL,false,34,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,43.3,43.1,2.5,true,51.3,88.5,41.0,4.7,0.579,local,,3336.8,113.5,1024,,"compute speedup 0,58x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:23.448,sha256-1786871363401,sha256,LOCAL,false,41,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,28.7,43.1,3.7,true,51.9,73.9,41.5,4.0,0.702,local,,3314.5,135.9,1024,,"compute speedup 0,70x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:26.499,sha256-1786871366452,sha256,LOCAL,false,38,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,28.7,43.1,2.4,true,51.2,73.9,41.0,4.0,0.693,local,,3376.9,128.3,1024,,"compute speedup 0,69x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:29.551,sha256-1786871369503,sha256,LOCAL,false,41,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.764,103.3,43.1,3.9,true,52.0,148.5,41.6,7.7,0.350,local,,3448.2,141.4,1024,,"compute speedup 0,35x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:32.597,sha256-1786871372553,sha256,LOCAL,false,37,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.764,103.3,43.1,2.3,true,51.2,148.5,40.9,7.7,0.345,local,,3368.0,124.6,1024,,"compute speedup 0,34x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:35.646,sha256-1786871375600,sha256,LOCAL,false,40,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,44.7,43.1,4.2,true,52.2,89.9,41.8,4.8,0.580,local,,3327.9,133.1,1024,,"compute speedup 0,58x < floor 1,50x (local 52ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:38.691,sha256-1786871378648,sha256,LOCAL,false,36,32,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.809,44.7,43.1,2.2,true,51.1,89.9,40.9,4.8,0.569,local,,3118.5,112.3,1024,,"compute speedup 0,57x < floor 1,50x (local 51ms vs remote 45ms) — network overhead not worth paying"
2026-08-16T16:09:49.812,img-gray-1786871387694,image-grayscale,EDGE,false,2116,28441,,BALANCED_COST,99,true,WIFI,0.809,35.5,43.1,13.8,true,347.9,160.0,278.3,14.5,2.175,edge,1623.3,2049.3,4336.3,24286,,"balanced cost: local=313,1 (lat 174,0 + eng 139,2), remote=87,3 (lat 80,0 + eng 7,3), margin 5% (speedup 2,2x) → EDGE"
2026-08-16T16:09:53.285,img-gray-1786871392829,image-grayscale,EDGE,false,452,28441,,BALANCED_COST,99,true,WIFI,0.809,35.5,43.1,5.0,true,315.8,160.0,252.6,14.5,1.974,edge,40.6,3501.6,1582.7,24286,,"balanced cost: local=284,2 (lat 157,9 + eng 126,3), remote=87,3 (lat 80,0 + eng 7,3), margin 5% (speedup 2,0x) → EDGE"
2026-08-16T16:09:56.651,img-gray-1786871396303,image-grayscale,EDGE,false,343,28441,,BALANCED_COST,99,true,WIFI,0.788,91.2,43.1,29.7,true,426.4,215.7,341.2,17.3,1.977,edge,5.0,3452.6,1184.3,24286,,"balanced cost: local=383,8 (lat 213,2 + eng 170,6), remote=116,5 (lat 107,8 + eng 8,7), margin 5% (speedup 2,0x) → EDGE"
2026-08-16T16:09:59.744,img-gray-1786871399668,image-grayscale,LOCAL,false,71,18150,,COMPUTE_FLOOR_NOT_MET,99,true,WIFI,0.788,91.2,43.1,3.2,true,310.0,215.7,248.0,17.3,1.437,local,,3572.9,253.7,24286,,"compute speedup 1,44x < floor 1,50x (local 310ms vs remote 120ms) — network overhead not worth paying"
2026-08-16T16:10:03.110,img-gray-1786871402762,image-grayscale,EDGE,false,341,28441,,BALANCED_COST,99,true,WIFI,0.809,33.3,43.1,3.9,true,312.2,157.8,249.8,14.4,1.979,edge,7.8,3470.4,1183.4,24286,,"balanced cost: local=281,0 (lat 156,1 + eng 124,9), remote=86,1 (lat 78,9 + eng 7,2), margin 5% (speedup 2,0x) → EDGE"
